item,org,date,quantity
3959506,42023714,2015-09-01,21729
3959509,1617388,2015-09-01,6117
3959509,1619228,2015-09-01,2993
3959509,40022636,2015-09-01,4343
3959509,42023714,2015-09-01,3805
3959530,1617388,2015-09-01,97725
3959530,1619228,2015-09-01,71666
3959530,40022636,2015-09-01,19635
3959530,42023714,2015-09-01,74056
5160016,1617388,2015-09-01,0
5160016,1619228,2015-09-01,0
5160016,40022636,2015-09-01,0
5160016,42023714,2015-09-01,0
6609938,1617388,2015-09-01,7581
6609938,1619228,2015-09-01,6399
6609938,40022636,2015-09-01,3409
6609938,42023714,2015-09-01,5767
28065487,1617388,2015-09-01,3900
28065487,1619228,2015-09-01,3078
28065487,40022636,2015-09-01,1867
28065487,42023714,2015-09-01,3962
51472179,1617388,2015-09-01,2539
51472179,1619228,2015-09-01,1383
51472179,40022636,2015-09-01,659
51472179,42023714,2015-09-01,2134
60715830,1617388,2015-09-01,2821
60715830,1619228,2015-09-01,2756
60715830,40022636,2015-09-01,1132
60715830,42023714,2015-09-01,4742
62793347,1617388,2015-09-01,0
62793347,1619228,2015-09-01,0
62793347,40022636,2015-09-01,0
62793347,42023714,2015-09-01,0
62922352,1617388,2015-09-01,1627
62922352,1619228,2015-09-01,567
62922352,40022636,2015-09-01,628
62922352,42023714,2015-09-01,1433
3959294,1617388,2015-10-01,8845
3959294,1619228,2015-10-01,5355
3959294,40022636,2015-10-01,2482
3959294,42023714,2015-10-01,11725
3959313,1617388,2015-10-01,2686
3959313,1619228,2015-10-01,1778
3959313,40022636,2015-10-01,1203
3959313,42023714,2015-10-01,5244
3959506,1617388,2015-10-01,55056
3959506,1619228,2015-10-01,40161
3959506,40022636,2015-10-01,20564
3959506,42023714,2015-10-01,35310
3959509,1617388,2015-10-01,8199
3959509,1619228,2015-10-01,3866
3959509,40022636,2015-10-01,4554
3959509,42023714,2015-10-01,4674
3959530,1617388,2015-10-01,61163
3959530,1619228,2015-10-01,70454
3959530,40022636,2015-10-01,17120
3959530,42023714,2015-10-01,74415
5160016,1617388,2015-10-01,38
5160016,1619228,2015-10-01,0
5160016,40022636,2015-10-01,0
5160016,42023714,2015-10-01,0
6609938,1617388,2015-10-01,8632
6609938,1619228,2015-10-01,5903
6609938,40022636,2015-10-01,2884
6609938,42023714,2015-10-01,5608
28065487,1617388,2015-10-01,5645
28065487,1619228,2015-10-01,4687
28065487,40022636,2015-10-01,2020
28065487,42023714,2015-10-01,6944
51472179,1617388,2015-10-01,5656
51472179,1619228,2015-10-01,1610
51472179,40022636,2015-10-01,1035
51472179,42023714,2015-10-01,2952
60715830,1617388,2015-10-01,5045
60715830,1619228,2015-10-01,3154
60715830,40022636,2015-10-01,1694
60715830,42023714,2015-10-01,5718
62793347,1617388,2015-10-01,0
62793347,1619228,2015-10-01,0
62793347,40022636,2015-10-01,0
62793347,42023714,2015-10-01,0
62922352,1617388,2015-10-01,2436
62922352,1619228,2015-10-01,1025
62922352,40022636,2015-10-01,737
62922352,42023714,2015-10-01,2190
3959294,1617388,2015-11-01,9722
3959294,1619228,2015-11-01,5632
3959294,40022636,2015-11-01,3970
3959294,42023714,2015-11-01,11440
3959313,1617388,2015-11-01,2383
3959313,1619228,2015-11-01,1452
3959313,40022636,2015-11-01,1284
3959313,42023714,2015-11-01,5415
3959506,1617388,2015-11-01,112341
3959506,1619228,2015-11-01,46924
3959506,40022636,2015-11-01,21978
3959506,42023714,2015-11-01,48356
3959509,1617388,2015-11-01,10644
3959509,1619228,2015-11-01,3417
3959509,40022636,2015-11-01,4796
3959509,42023714,2015-11-01,5311
3959530,1617388,2015-11-01,101394
3959530,1619228,2015-11-01,146243
3959530,40022636,2015-11-01,16746
3959530,42023714,2015-11-01,113417
3994423,1617388,2015-11-01,2019
3994423,1619228,2015-11-01,2505
3994423,40022636,2015-11-01,1147
3994423,42023714,2015-11-01,2244
5160016,1617388,2015-11-01,2
5160016,1619228,2015-11-01,0
5160016,40022636,2015-11-01,47
5160016,42023714,2015-11-01,0
6609938,1617388,2015-11-01,7730
6609938,1619228,2015-11-01,5527
6609938,40022636,2015-11-01,2854
6609938,42023714,2015-11-01,7788
28065487,1617388,2015-11-01,8605
28065487,1619228,2015-11-01,5156
28065487,40022636,2015-11-01,2574
28065487,42023714,2015-11-01,9124
51472179,1617388,2015-11-01,2204
51472179,1619228,2015-11-01,1160
51472179,40022636,2015-11-01,696
51472179,42023714,2015-11-01,2396
60715830,1617388,2015-11-01,2313
60715830,1619228,2015-11-01,2079
60715830,40022636,2015-11-01,1387
